Date,Away team,Home team
4/1/2021,Chicago White Sox,Los Angeles Angels
4/1/2021,Pittsburgh Pirates,Chicago Cubs
4/1/2021,St. Louis Cardinals,Cincinnati Reds
4/1/2021,Los Angeles Dodgers,Colorado Rockies
4/1/2021,Cleveland Indians,Detroit Tigers
4/1/2021,Texas Rangers,Kansas City Royals
4/1/2021,Tampa Bay Rays,Miami Marlins
4/1/2021,Minnesota Twins,Milwaukee Brewers
4/1/2021,Toronto Blue Jays,New York Yankees
4/1/2021,Houston Astros,Oakland Athletics
4/1/2021,Atlanta Braves,Philadelphia Phillies
4/1/2021,Arizona D'Backs,San Diego Padres
4/1/2021,San Francisco Giants,Seattle Mariners
4/2/2021,Chicago White Sox,Los Angeles Angels
4/2/2021,Baltimore Orioles,Boston Red Sox
4/2/2021,Los Angeles Dodgers,Colorado Rockies
4/2/2021,Tampa Bay Rays,Miami Marlins
4/2/2021,Houston Astros,Oakland Athletics
4/2/2021,Arizona D'Backs,San Diego Padres
4/2/2021,San Francisco Giants,Seattle Mariners
4/3/2021,Chicago White Sox,Los Angeles Angels
4/3/2021,Baltimore Orioles,Boston Red Sox
4/3/2021,Pittsburgh Pirates,Chicago Cubs
4/3/2021,St. Louis Cardinals,Cincinnati Reds
4/3/2021,Los Angeles Dodgers,Colorado Rockies
4/3/2021,Cleveland Indians,Detroit Tigers
4/3/2021,Texas Rangers,Kansas City Royals
4/3/2021,Tampa Bay Rays,Miami Marlins
4/3/2021,Minnesota Twins,Milwaukee Brewers
4/3/2021,Toronto Blue Jays,New York Yankees
4/3/2021,Houston Astros,Oakland Athletics
4/3/2021,Atlanta Braves,Philadelphia Phillies
4/3/2021,Arizona D'Backs,San Diego Padres
4/3/2021,San Francisco Giants,Seattle Mariners
4/4/2021,Chicago White Sox,Los Angeles Angels
4/4/2021,Baltimore Orioles,Boston Red Sox
4/4/2021,Pittsburgh Pirates,Chicago Cubs
4/4/2021,St. Louis Cardinals,Cincinnati Reds
4/4/2021,Los Angeles Dodgers,Colorado Rockies
4/4/2021,Cleveland Indians,Detroit Tigers
4/4/2021,Texas Rangers,Kansas City Royals
4/4/2021,Minnesota Twins,Milwaukee Brewers
4/4/2021,Toronto Blue Jays,New York Yankees
4/4/2021,Houston Astros,Oakland Athletics
4/4/2021,Atlanta Braves,Philadelphia Phillies
4/4/2021,Arizona D'Backs,San Diego Padres
4/5/2021,Houston Astros,Los Angeles Angels
4/5/2021,Tampa Bay Rays,Boston Red Sox
4/5/2021,Milwaukee Brewers,Chicago Cubs
4/5/2021,Pittsburgh Pirates,Cincinnati Reds
4/5/2021,Kansas City Royals,Cleveland Indians
4/5/2021,Minnesota Twins,Detroit Tigers
4/5/2021,St. Louis Cardinals,Miami Marlins
4/5/2021,Baltimore Orioles,New York Yankees
4/5/2021,Los Angeles Dodgers,Oakland Athletics
4/5/2021,New York Mets,Philadelphia Phillies
4/5/2021,San Francisco Giants,San Diego Padres
4/5/2021,Chicago White Sox,Seattle Mariners
4/5/2021,Toronto Blue Jays,Texas Rangers
4/6/2021,Houston Astros,Los Angeles Angels
4/6/2021,Tampa Bay Rays,Boston Red Sox
4/6/2021,Milwaukee Brewers,Chicago Cubs
4/6/2021,Pittsburgh Pirates,Cincinnati Reds
4/6/2021,Arizona D'Backs,Colorado Rockies
4/6/2021,Minnesota Twins,Detroit Tigers
4/6/2021,St. Louis Cardinals,Miami Marlins
4/6/2021,Baltimore Orioles,New York Yankees
4/6/2021,Los Angeles Dodgers,Oakland Athletics
4/6/2021,New York Mets,Philadelphia Phillies
4/6/2021,San Francisco Giants,San Diego Padres
4/6/2021,Chicago White Sox,Seattle Mariners
4/6/2021,Toronto Blue Jays,Texas Rangers
4/6/2021,Atlanta Braves,Washington Nationals
4/7/2021,Tampa Bay Rays,Boston Red Sox
4/7/2021,Milwaukee Brewers,Chicago Cubs
4/7/2021,Pittsburgh Pirates,Cincinnati Reds
4/7/2021,Kansas City Royals,Cleveland Indians
4/7/2021,Arizona D'Backs,Colorado Rockies
4/7/2021,Minnesota Twins,Detroit Tigers
4/7/2021,St. Louis Cardinals,Miami Marlins
4/7/2021,Baltimore Orioles,New York Yankees
4/7/2021,Los Angeles Dodgers,Oakland Athletics
4/7/2021,New York Mets,Philadelphia Phillies
4/7/2021,San Francisco Giants,San Diego Padres
4/7/2021,Chicago White Sox,Seattle Mariners
4/7/2021,Toronto Blue Jays,Texas Rangers
4/7/2021,Atlanta Braves,Washington Nationals
4/7/2021,Atlanta Braves,Washington Nationals
4/8/2021,Boston Red Sox,Baltimore Orioles
4/8/2021,Kansas City Royals,Chicago White Sox
4/8/2021,Arizona D'Backs,Colorado Rockies
4/8/2021,Oakland Athletics,Houston Astros
4/8/2021,Seattle Mariners,Minnesota Twins
4/8/2021,Miami Marlins,New York Mets
4/8/2021,Chicago Cubs,Pittsburgh Pirates
4/8/2021,Milwaukee Brewers,St. Louis Cardinals
4/8/2021,Los Angeles Angels,Toronto Blue Jays
4/9/2021,Cincinnati Reds,Arizona D'Backs
4/9/2021,Philadelphia Phillies,Atlanta Braves
4/9/2021,Detroit Tigers,Cleveland Indians
4/9/2021,Oakland Athletics,Houston Astros
4/9/2021,Washington Nationals,Los Angeles Dodgers
4/9/2021,Colorado Rockies,San Francisco Giants
4/9/2021,New York Yankees,Tampa Bay Rays
4/9/2021,San Diego Padres,Texas Rangers
4/9/2021,Los Angeles Angels,Toronto Blue Jays
4/10/2021,Cincinnati Reds,Arizona D'Backs
4/10/2021,Philadelphia Phillies,Atlanta Braves
4/10/2021,Boston Red Sox,Baltimore Orioles
4/10/2021,Detroit Tigers,Cleveland Indians
4/10/2021,Oakland Athletics,Houston Astros
4/10/2021,Washington Nationals,Los Angeles Dodgers
4/10/2021,Seattle Mariners,Minnesota Twins
4/10/2021,Miami Marlins,New York Mets
4/10/2021,Chicago Cubs,Pittsburgh Pirates
4/10/2021,Colorado Rockies,San Francisco Giants
4/10/2021,Milwaukee Brewers,St. Louis Cardinals
4/10/2021,New York Yankees,Tampa Bay Rays
4/10/2021,San Diego Padres,Texas Rangers
4/10/2021,Los Angeles Angels,Toronto Blue Jays
4/11/2021,Cincinnati Reds,Arizona D'Backs
4/11/2021,Philadelphia Phillies,Atlanta Braves
4/11/2021,Boston Red Sox,Baltimore Orioles
4/11/2021,Kansas City Royals,Chicago White Sox
4/11/2021,Detroit Tigers,Cleveland Indians
4/11/2021,Washington Nationals,Los Angeles Dodgers
4/11/2021,Seattle Mariners,Minnesota Twins
4/11/2021,Miami Marlins,New York Mets
4/11/2021,Chicago Cubs,Pittsburgh Pirates
4/11/2021,Colorado Rockies,San Francisco Giants
4/11/2021,Milwaukee Brewers,St. Louis Cardinals
4/11/2021,New York Yankees,Tampa Bay Rays
4/11/2021,San Diego Padres,Texas Rangers
4/12/2021,Oakland Athletics,Arizona D'Backs
4/12/2021,Miami Marlins,Atlanta Braves
4/12/2021,Cleveland Indians,Chicago White Sox
4/12/2021,Detroit Tigers,Houston Astros
4/12/2021,Los Angeles Angels,Kansas City Royals
4/12/2021,Chicago Cubs,Milwaukee Brewers
4/12/2021,San Diego Padres,Pittsburgh Pirates
4/12/2021,Cincinnati Reds,San Francisco Giants
4/12/2021,Washington Nationals,St. Louis Cardinals
4/12/2021,Texas Rangers,Tampa Bay Rays
4/12/2021,New York Yankees,Toronto Blue Jays
4/13/2021,Oakland Athletics,Arizona D'Backs
4/13/2021,Miami Marlins,Atlanta Braves
4/13/2021,Seattle Mariners,Baltimore Orioles
4/13/2021,Seattle Mariners,Baltimore Orioles
4/13/2021,Cleveland Indians,Chicago White Sox
4/13/2021,Detroit Tigers,Houston Astros
4/13/2021,Los Angeles Angels,Kansas City Royals
4/13/2021,Colorado Rockies,Los Angeles Dodgers
4/13/2021,Chicago Cubs,Milwaukee Brewers
4/13/2021,Boston Red Sox,Minnesota Twins
4/13/2021,Philadelphia Phillies,New York Mets
4/13/2021,Philadelphia Phillies,New York Mets
4/13/2021,San Diego Padres,Pittsburgh Pirates
4/13/2021,Cincinnati Reds,San Francisco Giants
4/13/2021,Washington Nationals,St. Louis Cardinals
4/13/2021,Texas Rangers,Tampa Bay Rays
4/13/2021,New York Yankees,Toronto Blue Jays
4/14/2021,Miami Marlins,Atlanta Braves
4/14/2021,Cleveland Indians,Chicago White Sox
4/14/2021,Detroit Tigers,Houston Astros
4/14/2021,Los Angeles Angels,Kansas City Royals
4/14/2021,Colorado Rockies,Los Angeles Dodgers
4/14/2021,Chicago Cubs,Milwaukee Brewers
4/14/2021,Boston Red Sox,Minnesota Twins
4/14/2021,Boston Red Sox,Minnesota Twins
4/14/2021,Philadelphia Phillies,New York Mets
4/14/2021,San Diego Padres,Pittsburgh Pirates
4/14/2021,Cincinnati Reds,San Francisco Giants
4/14/2021,Washington Nationals,St. Louis Cardinals
4/14/2021,Texas Rangers,Tampa Bay Rays
4/14/2021,New York Yankees,Toronto Blue Jays
4/15/2021,Miami Marlins,Atlanta Braves
4/15/2021,Seattle Mariners,Baltimore Orioles
4/15/2021,Seattle Mariners,Baltimore Orioles
4/15/2021,Cleveland Indians,Chicago White Sox
4/15/2021,Toronto Blue Jays,Kansas City Royals
4/15/2021,Colorado Rockies,Los Angeles Dodgers
4/15/2021,Boston Red Sox,Minnesota Twins
4/15/2021,Detroit Tigers,Oakland Athletics
4/15/2021,San Diego Padres,Pittsburgh Pirates
4/15/2021,Texas Rangers,Tampa Bay Rays
4/15/2021,Arizona D'Backs,Washington Nationals
4/16/2021,Minnesota Twins,Los Angeles Angels
4/16/2021,Atlanta Braves,Chicago Cubs
4/16/2021,Cleveland Indians,Cincinnati Reds
4/16/2021,San Francisco Giants,Miami Marlins
4/16/2021,Pittsburgh Pirates,Milwaukee Brewers
4/16/2021,Tampa Bay Rays,New York Yankees
4/16/2021,Detroit Tigers,Oakland Athletics
4/16/2021,St. Louis Cardinals,Philadelphia Phillies
4/16/2021,Los Angeles Dodgers,San Diego Padres
4/16/2021,Houston Astros,Seattle Mariners
4/16/2021,Baltimore Orioles,Texas Rangers
4/16/2021,Arizona D'Backs,Washington Nationals
4/17/2021,Chicago White Sox,Boston Red Sox
4/17/2021,Atlanta Braves,Chicago Cubs
4/17/2021,Cleveland Indians,Cincinnati Reds
4/17/2021,New York Mets,Colorado Rockies
4/17/2021,New York Mets,Colorado Rockies
4/17/2021,Toronto Blue Jays,Kansas City Royals
4/17/2021,Toronto Blue Jays,Kansas City Royals
4/17/2021,San Francisco Giants,Miami Marlins
4/17/2021,Pittsburgh Pirates,Milwaukee Brewers
4/17/2021,Tampa Bay Rays,New York Yankees
4/17/2021,Detroit Tigers,Oakland Athletics
4/17/2021,St. Louis Cardinals,Philadelphia Phillies
4/17/2021,Los Angeles Dodgers,San Diego Padres
4/17/2021,Houston Astros,Seattle Mariners
4/17/2021,Baltimore Orioles,Texas Rangers
4/17/2021,Arizona D'Backs,Washington Nationals
4/18/2021,Chicago White Sox,Boston Red Sox
4/18/2021,Chicago White Sox,Boston Red Sox
4/18/2021,Atlanta Braves,Chicago Cubs
4/18/2021,Cleveland Indians,Cincinnati Reds
4/18/2021,New York Mets,Colorado Rockies
4/18/2021,Toronto Blue Jays,Kansas City Royals
4/18/2021,San Francisco Giants,Miami Marlins
4/18/2021,Pittsburgh Pirates,Milwaukee Brewers
4/18/2021,Tampa Bay Rays,New York Yankees
4/18/2021,Detroit Tigers,Oakland Athletics
4/18/2021,St. Louis Cardinals,Philadelphia Phillies
4/18/2021,Los Angeles Dodgers,San Diego Padres
4/18/2021,Houston Astros,Seattle Mariners
4/18/2021,Baltimore Orioles,Texas Rangers
4/18/2021,Arizona D'Backs,Washington Nationals
4/19/2021,Texas Rangers,Los Angeles Angels
4/19/2021,Chicago White Sox,Boston Red Sox
4/19/2021,Tampa Bay Rays,Kansas City Royals
4/19/2021,San Francisco Giants,Philadelphia Phillies
4/19/2021,Milwaukee Brewers,San Diego Padres
4/19/2021,Los Angeles Dodgers,Seattle Mariners
4/19/2021,St. Louis Cardinals,Washington Nationals
4/20/2021,Texas Rangers,Los Angeles Angels
4/20/2021,Toronto Blue Jays,Boston Red Sox
4/20/2021,New York Mets,Chicago Cubs
4/20/2021,Arizona D'Backs,Cincinnati Reds
4/20/2021,Chicago White Sox,Cleveland Indians
4/20/2021,Houston Astros,Colorado Rockies
4/20/2021,Tampa Bay Rays,Kansas City Royals
4/20/2021,Baltimore Orioles,Miami Marlins
4/20/2021,Atlanta Braves,New York Yankees
4/20/2021,Minnesota Twins,Oakland Athletics
4/20/2021,Minnesota Twins,Oakland Athletics
4/20/2021,San Francisco Giants,Philadelphia Phillies
4/20/2021,Milwaukee Brewers,San Diego Padres
4/20/2021,Los Angeles Dodgers,Seattle Mariners
4/20/2021,St. Louis Cardinals,Washington Nationals
4/21/2021,Texas Rangers,Los Angeles Angels
4/21/2021,Toronto Blue Jays,Boston Red Sox
4/21/2021,New York Mets,Chicago Cubs
4/21/2021,Arizona D'Backs,Cincinnati Reds
4/21/2021,Houston Astros,Colorado Rockies
4/21/2021,Pittsburgh Pirates,Detroit Tigers
4/21/2021,Pittsburgh Pirates,Detroit Tigers
4/21/2021,Tampa Bay Rays,Kansas City Royals
4/21/2021,Baltimore Orioles,Miami Marlins
4/21/2021,Atlanta Braves,New York Yankees
4/21/2021,Minnesota Twins,Oakland Athletics
4/21/2021,San Francisco Giants,Philadelphia Phillies
4/21/2021,Milwaukee Brewers,San Diego Padres
4/21/2021,St. Louis Cardinals,Washington Nationals
4/22/2021,Seattle Mariners,Boston Red Sox
4/22/2021,New York Mets,Chicago Cubs
4/22/2021,Arizona D'Backs,Cincinnati Reds
4/22/2021,New York Yankees,Cleveland Indians
4/22/2021,Pittsburgh Pirates,Detroit Tigers
4/22/2021,Los Angeles Angels,Houston Astros
4/22/2021,San Diego Padres,Los Angeles Dodgers
4/22/2021,Miami Marlins,San Francisco Giants
4/23/2021,Arizona D'Backs,Atlanta Braves
4/23/2021,Oakland Athletics,Baltimore Orioles
4/23/2021,Seattle Mariners,Boston Red Sox
4/23/2021,Texas Rangers,Chicago White Sox
4/23/2021,Milwaukee Brewers,Chicago Cubs
4/23/2021,New York Yankees,Cleveland Indians
4/23/2021,Philadelphia Phillies,Colorado Rockies
4/23/2021,Kansas City Royals,Detroit Tigers
4/23/2021,Los Angeles Angels,Houston Astros
4/23/2021,San Diego Padres,Los Angeles Dodgers
4/23/2021,Pittsburgh Pirates,Minnesota Twins
4/23/2021,Washington Nationals,New York Mets
4/23/2021,Miami Marlins,San Francisco Giants
4/23/2021,Cincinnati Reds,St. Louis Cardinals
4/23/2021,Toronto Blue Jays,Tampa Bay Rays
4/24/2021,Oakland Athletics,Baltimore Orioles
4/24/2021,Seattle Mariners,Boston Red Sox
4/24/2021,Texas Rangers,Chicago White Sox
4/24/2021,Milwaukee Brewers,Chicago Cubs
4/24/2021,New York Yankees,Cleveland Indians
4/24/2021,Philadelphia Phillies,Colorado Rockies
4/24/2021,Kansas City Royals,Detroit Tigers
4/24/2021,Los Angeles Angels,Houston Astros
4/24/2021,San Diego Padres,Los Angeles Dodgers
4/24/2021,Pittsburgh Pirates,Minnesota Twins
4/24/2021,Washington Nationals,New York Mets
4/24/2021,Miami Marlins,San Francisco Giants
4/24/2021,Cincinnati Reds,St. Louis Cardinals
4/24/2021,Toronto Blue Jays,Tampa Bay Rays
4/25/2021,Arizona D'Backs,Atlanta Braves
4/25/2021,Arizona D'Backs,Atlanta Braves
4/25/2021,Oakland Athletics,Baltimore Orioles
4/25/2021,Seattle Mariners,Boston Red Sox
4/25/2021,Texas Rangers,Chicago White Sox
4/25/2021,Milwaukee Brewers,Chicago Cubs
4/25/2021,New York Yankees,Cleveland Indians
4/25/2021,Philadelphia Phillies,Colorado Rockies
4/25/2021,Kansas City Royals,Detroit Tigers
4/25/2021,Los Angeles Angels,Houston Astros
4/25/2021,San Diego Padres,Los Angeles Dodgers
4/25/2021,Pittsburgh Pirates,Minnesota Twins
4/25/2021,Washington Nationals,New York Mets
4/25/2021,Miami Marlins,San Francisco Giants
4/25/2021,Cincinnati Reds,St. Louis Cardinals
4/25/2021,Toronto Blue Jays,Tampa Bay Rays
4/26/2021,Chicago Cubs,Atlanta Braves
4/26/2021,New York Yankees,Baltimore Orioles
4/26/2021,Minnesota Twins,Cleveland Indians
4/26/2021,Kansas City Royals,Detroit Tigers
4/26/2021,Seattle Mariners,Houston Astros
4/26/2021,Cincinnati Reds,Los Angeles Dodgers
4/26/2021,Miami Marlins,Milwaukee Brewers
4/26/2021,Colorado Rockies,San Francisco Giants
4/26/2021,Philadelphia Phillies,St. Louis Cardinals
4/26/2021,Oakland Athletics,Tampa Bay Rays
4/26/2021,Los Angeles Angels,Texas Rangers
4/27/2021,San Diego Padres,Arizona D'Backs
4/27/2021,Chicago Cubs,Atlanta Braves
4/27/2021,New York Yankees,Baltimore Orioles
4/27/2021,Detroit Tigers,Chicago White Sox
4/27/2021,Minnesota Twins,Cleveland Indians
4/27/2021,Seattle Mariners,Houston Astros
4/27/2021,Cincinnati Reds,Los Angeles Dodgers
4/27/2021,Miami Marlins,Milwaukee Brewers
4/27/2021,Boston Red Sox,New York Mets
4/27/2021,Kansas City Royals,Pittsburgh Pirates
4/27/2021,Colorado Rockies,San Francisco Giants
4/27/2021,Philadelphia Phillies,St. Louis Cardinals
4/27/2021,Oakland Athletics,Tampa Bay Rays
4/27/2021,Los Angeles Angels,Texas Rangers
4/27/2021,Washington Nationals,Toronto Blue Jays
4/28/2021,San Diego Padres,Arizona D'Backs
4/28/2021,Chicago Cubs,Atlanta Braves
4/28/2021,New York Yankees,Baltimore Orioles
4/28/2021,Minnesota Twins,Cleveland Indians
4/28/2021,Seattle Mariners,Houston Astros
4/28/2021,Cincinnati Reds,Los Angeles Dodgers
4/28/2021,Miami Marlins,Milwaukee Brewers
4/28/2021,Boston Red Sox,New York Mets
4/28/2021,Kansas City Royals,Pittsburgh Pirates
4/28/2021,Colorado Rockies,San Francisco Giants
4/28/2021,Philadelphia Phillies,St. Louis Cardinals
4/28/2021,Oakland Athletics,Tampa Bay Rays
4/28/2021,Los Angeles Angels,Texas Rangers
4/28/2021,Washington Nationals,Toronto Blue Jays
4/29/2021,Colorado Rockies,Arizona D'Backs
4/29/2021,Chicago Cubs,Atlanta Braves
4/29/2021,New York Yankees,Baltimore Orioles
4/29/2021,Detroit Tigers,Chicago White Sox
4/29/2021,Detroit Tigers,Chicago White Sox
4/29/2021,Seattle Mariners,Houston Astros
4/29/2021,Los Angeles Dodgers,Milwaukee Brewers
4/29/2021,Philadelphia Phillies,St. Louis Cardinals
4/29/2021,Oakland Athletics,Tampa Bay Rays
4/29/2021,Boston Red Sox,Texas Rangers
4/30/2021,Colorado Rockies,Arizona D'Backs
4/30/2021,Cleveland Indians,Chicago White Sox
4/30/2021,Chicago Cubs,Cincinnati Reds
4/30/2021,Los Angeles Dodgers,Milwaukee Brewers
4/30/2021,Kansas City Royals,Minnesota Twins
4/30/2021,Detroit Tigers,New York Yankees
4/30/2021,Baltimore Orioles,Oakland Athletics
4/30/2021,New York Mets,Philadelphia Phillies
4/30/2021,St. Louis Cardinals,Pittsburgh Pirates
4/30/2021,San Francisco Giants,San Diego Padres
4/30/2021,Los Angeles Angels,Seattle Mariners
4/30/2021,Houston Astros,Tampa Bay Rays
4/30/2021,Boston Red Sox,Texas Rangers
4/30/2021,Atlanta Braves,Toronto Blue Jays
4/30/2021,Miami Marlins,Washington Nationals
5/1/2021,Colorado Rockies,Arizona D'Backs
5/1/2021,Cleveland Indians,Chicago White Sox
5/1/2021,Chicago Cubs,Cincinnati Reds
5/1/2021,Los Angeles Dodgers,Milwaukee Brewers
5/1/2021,Kansas City Royals,Minnesota Twins
5/1/2021,Detroit Tigers,New York Yankees
5/1/2021,Baltimore Orioles,Oakland Athletics
5/1/2021,New York Mets,Philadelphia Phillies
5/1/2021,St. Louis Cardinals,Pittsburgh Pirates
5/1/2021,San Francisco Giants,San Diego Padres
5/1/2021,Los Angeles Angels,Seattle Mariners
5/1/2021,Houston Astros,Tampa Bay Rays
5/1/2021,Boston Red Sox,Texas Rangers
5/1/2021,Atlanta Braves,Toronto Blue Jays
5/1/2021,Miami Marlins,Washington Nationals
5/2/2021,Colorado Rockies,Arizona D'Backs
5/2/2021,Cleveland Indians,Chicago White Sox
5/2/2021,Chicago Cubs,Cincinnati Reds
5/2/2021,Los Angeles Dodgers,Milwaukee Brewers
5/2/2021,Kansas City Royals,Minnesota Twins
5/2/2021,Detroit Tigers,New York Yankees
5/2/2021,Baltimore Orioles,Oakland Athletics
5/2/2021,New York Mets,Philadelphia Phillies
5/2/2021,St. Louis Cardinals,Pittsburgh Pirates
5/2/2021,San Francisco Giants,San Diego Padres
5/2/2021,Los Angeles Angels,Seattle Mariners
5/2/2021,Houston Astros,Tampa Bay Rays
5/2/2021,Boston Red Sox,Texas Rangers
5/2/2021,Atlanta Braves,Toronto Blue Jays
5/2/2021,Miami Marlins,Washington Nationals
5/3/2021,Tampa Bay Rays,Los Angeles Angels
5/3/2021,Cleveland Indians,Kansas City Royals
5/3/2021,Texas Rangers,Minnesota Twins
5/3/2021,Toronto Blue Jays,Oakland Athletics
5/3/2021,Milwaukee Brewers,Philadelphia Phillies
5/3/2021,Pittsburgh Pirates,San Diego Padres
5/3/2021,Baltimore Orioles,Seattle Mariners
5/3/2021,New York Mets,St. Louis Cardinals
5/4/2021,Tampa Bay Rays,Los Angeles Angels
5/4/2021,Detroit Tigers,Boston Red Sox
5/4/2021,Los Angeles Dodgers,Chicago Cubs
5/4/2021,Los Angeles Dodgers,Chicago Cubs
5/4/2021,Chicago White Sox,Cincinnati Reds
5/4/2021,San Francisco Giants,Colorado Rockies
5/4/2021,San Francisco Giants,Colorado Rockies
5/4/2021,Cleveland Indians,Kansas City Royals
5/4/2021,Arizona D'Backs,Miami Marlins
5/4/2021,Texas Rangers,Minnesota Twins
5/4/2021,Houston Astros,New York Yankees
5/4/2021,Toronto Blue Jays,Oakland Athletics
5/4/2021,Milwaukee Brewers,Philadelphia Phillies
5/4/2021,Pittsburgh Pirates,San Diego Padres
5/4/2021,Baltimore Orioles,Seattle Mariners
5/4/2021,Atlanta Braves,Washington Nationals
5/5/2021,Tampa Bay Rays,Los Angeles Angels
5/5/2021,Detroit Tigers,Boston Red Sox
5/5/2021,Los Angeles Dodgers,Chicago Cubs
5/5/2021,Chicago White Sox,Cincinnati Reds
5/5/2021,San Francisco Giants,Colorado Rockies
5/5/2021,Cleveland Indians,Kansas City Royals
5/5/2021,Arizona D'Backs,Miami Marlins
5/5/2021,Texas Rangers,Minnesota Twins
5/5/2021,Houston Astros,New York Yankees
5/5/2021,Toronto Blue Jays,Oakland Athletics
5/5/2021,Milwaukee Brewers,Philadelphia Phillies
5/5/2021,Pittsburgh Pirates,San Diego Padres
5/5/2021,Baltimore Orioles,Seattle Mariners
5/5/2021,New York Mets,St. Louis Cardinals
5/5/2021,New York Mets,St. Louis Cardinals
5/5/2021,Atlanta Braves,Washington Nationals
5/6/2021,Tampa Bay Rays,Los Angeles Angels
5/6/2021,Detroit Tigers,Boston Red Sox
5/6/2021,Cleveland Indians,Kansas City Royals
5/6/2021,Arizona D'Backs,Miami Marlins
5/6/2021,Texas Rangers,Minnesota Twins
5/6/2021,Houston Astros,New York Yankees
5/6/2021,Toronto Blue Jays,Oakland Athletics
5/6/2021,Milwaukee Brewers,Philadelphia Phillies
5/6/2021,New York Mets,St. Louis Cardinals
5/6/2021,Atlanta Braves,Washington Nationals
5/7/2021,Los Angeles Dodgers,Los Angeles Angels
5/7/2021,Philadelphia Phillies,Atlanta Braves
5/7/2021,Boston Red Sox,Baltimore Orioles
5/7/2021,Pittsburgh Pirates,Chicago Cubs
5/7/2021,Cincinnati Reds,Cleveland Indians
5/7/2021,Minnesota Twins,Detroit Tigers
5/7/2021,Toronto Blue Jays,Houston Astros
5/7/2021,Chicago White Sox,Kansas City Royals
5/7/2021,Milwaukee Brewers,Miami Marlins
5/7/2021,Washington Nationals,New York Yankees
5/7/2021,Arizona D'Backs,New York Mets
5/7/2021,Tampa Bay Rays,Oakland Athletics
5/7/2021,San Diego Padres,San Francisco Giants
5/7/2021,Colorado Rockies,St. Louis Cardinals
5/7/2021,Seattle Mariners,Texas Rangers
5/8/2021,Los Angeles Dodgers,Los Angeles Angels
5/8/2021,Philadelphia Phillies,Atlanta Braves
5/8/2021,Boston Red Sox,Baltimore Orioles
5/8/2021,Pittsburgh Pirates,Chicago Cubs
5/8/2021,Cincinnati Reds,Cleveland Indians
5/8/2021,Minnesota Twins,Detroit Tigers
5/8/2021,Toronto Blue Jays,Houston Astros
5/8/2021,Chicago White Sox,Kansas City Royals
5/8/2021,Milwaukee Brewers,Miami Marlins
5/8/2021,Washington Nationals,New York Yankees
5/8/2021,Arizona D'Backs,New York Mets
5/8/2021,Tampa Bay Rays,Oakland Athletics
5/8/2021,San Diego Padres,San Francisco Giants
5/8/2021,Colorado Rockies,St. Louis Cardinals
5/8/2021,Seattle Mariners,Texas Rangers
5/9/2021,Los Angeles Dodgers,Los Angeles Angels
5/9/2021,Philadelphia Phillies,Atlanta Braves
5/9/2021,Boston Red Sox,Baltimore Orioles
5/9/2021,Pittsburgh Pirates,Chicago Cubs
5/9/2021,Toronto Blue Jays,Houston Astros
5/9/2021,Chicago White Sox,Kansas City Royals
5/9/2021,Milwaukee Brewers,Miami Marlins
5/9/2021,Washington Nationals,New York Yankees
5/9/2021,Arizona D'Backs,New York Mets
5/9/2021,Tampa Bay Rays,Oakland Athletics
5/9/2021,San Diego Padres,San Francisco Giants
5/9/2021,Colorado Rockies,St. Louis Cardinals
5/9/2021,Seattle Mariners,Texas Rangers
5/10/2021,Miami Marlins,Arizona D'Backs
5/10/2021,Boston Red Sox,Baltimore Orioles
5/10/2021,Los Angeles Angels,Houston Astros
5/10/2021,Cincinnati Reds,Pittsburgh Pirates
5/10/2021,Texas Rangers,San Francisco Giants
5/11/2021,Miami Marlins,Arizona D'Backs
5/11/2021,Toronto Blue Jays,Atlanta Braves
5/11/2021,Oakland Athletics,Boston Red Sox
5/11/2021,Minnesota Twins,Chicago White Sox
5/11/2021,Chicago Cubs,Cleveland Indians
5/11/2021,San Diego Padres,Colorado Rockies
5/11/2021,Kansas City Royals,Detroit Tigers
5/11/2021,Los Angeles Angels,Houston Astros
5/11/2021,Seattle Mariners,Los Angeles Dodgers
5/11/2021,St. Louis Cardinals,Milwaukee Brewers
5/11/2021,Baltimore Orioles,New York Mets
5/11/2021,Cincinnati Reds,Pittsburgh Pirates
5/11/2021,Texas Rangers,San Francisco Giants
5/11/2021,New York Yankees,Tampa Bay Rays
5/11/2021,Philadelphia Phillies,Washington Nationals
5/12/2021,Miami Marlins,Arizona D'Backs
5/12/2021,Toronto Blue Jays,Atlanta Braves
5/12/2021,Oakland Athletics,Boston Red Sox
5/12/2021,Minnesota Twins,Chicago White Sox
5/12/2021,Chicago Cubs,Cleveland Indians
5/12/2021,San Diego Padres,Colorado Rockies
5/12/2021,San Diego Padres,Colorado Rockies
5/12/2021,Kansas City Royals,Detroit Tigers
5/12/2021,Los Angeles Angels,Houston Astros
5/12/2021,Seattle Mariners,Los Angeles Dodgers
5/12/2021,St. Louis Cardinals,Milwaukee Brewers
5/12/2021,Baltimore Orioles,New York Mets
5/12/2021,Cincinnati Reds,Pittsburgh Pirates
5/12/2021,New York Yankees,Tampa Bay Rays
5/12/2021,Philadelphia Phillies,Washington Nationals
5/13/2021,Miami Marlins,Arizona D'Backs
5/13/2021,Toronto Blue Jays,Atlanta Braves
5/13/2021,Oakland Athletics,Boston Red Sox
5/13/2021,Minnesota Twins,Chicago White Sox
